"line_number","citations","text"
"269","8;13;16;27;29;47","Second, toolchains, nodes, and datasets differ sharply across the corpus. Industrial 7 nm or 16 nm studies [8], [13], [16] are not directly comparable to open benchmark studies or older-node methodology papers [27], [29], [47]. Some papers evaluate on routed industrial designs, some on academic benchmarks, and some on SPICE-characterized cell data. That heterogeneity is exactly why this review emphasizes trust mechanisms, deployment position, and robustness axis rather than a single leaderboard."
"271","10;13;21;22;25","Third, publication and confidentiality effects bias the visible evidence. Industrially relevant failures may be underreported, while publishable academic results often emphasize accuracy or speedup on the metrics that are easiest to disclose. GPU acceleration can look cleaner in papers than in production flows when host-device movement, memory irregularity, or integration overhead is not fully surfaced [21], [22]. Transfer and correction models can also appear more stable than they are when the reference flow and deployment flow are closely matched [10], [13], [25]."
"283","1","[1] “A GNN-Based Placement Optimization Guidance Framework by Physical and Timing Prediction,” *Electronics*, 2025. doi: 10.3390/electronics14020329.  "
"284","2","[2] “Complex Network Based Machine Learning Method for Predicting Circuit Timing,” *Applied Soft Computing*, 2026. doi: 10.1016/j.asoc.2025.114100.  "
"285","3","[3] “Efficient Timing Prediction and Optimization Using Derivable Gradient Boosting Machine Model at Placement Stage,” *ACM Transactions on Design Automation of Electronic Systems*, 2025. doi: 10.1145/3780100.  "
"286","4","[4] “Knowledge Transferring Framework for Cell Library Characterization,” *Microelectronics Journal*, 2025. doi: 10.1016/j.mejo.2024.106542.  "
"287","5","[5] “Pre-Routing Slack Prediction Based on Graph Attention Network,” *Automation*, 2025. doi: 10.3390/automation6020020.  "
"288","6","[6] “Prerouting Timing Prediction Across Different Technology Nodes,” *IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems*, 2025. doi: 10.1109/TCAD.2024.3523426.  "
"289","7","[7] “Sign-Off Timing Considerations via Concurrent Routing Topology Optimization,” *IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems*, 2025. doi: 10.1109/TCAD.2024.3506216.  "
"290","8","[8] “PRO-TIME: Prerouting Optimization-Aware Timing Prediction via Multimodal Learning,” *IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems*, 2025. doi: 10.1109/TCAD.2025.3569488.  "
"291","9","[9] “TimeBoost: Accelerating Timing Analysis Engines Using XGBoost,” *AEU - International Journal of Electronics and Communications*, 2025. doi: 10.1016/j.aeue.2025.155870.  "
"292","10","[10] “A Machine Learning Approach to Improving Timing Consistency between Global Route and Detailed Route,” *ACM Transactions on Design Automation of Electronic Systems*, 2024. doi: 10.1145/3626959.  "
"293","11","[11] “Accurate Interpolation of Library Timing Parameters Through Recurrent Convolutional Neural Network,” *IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems*, 2024. doi: 10.1109/TCAD.2023.3316991.  "
"294","12","[12] “Dynamic Supply Noise Aware Timing Analysis With JIT Machine Learning Integration,” *IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems*, 2024. doi: 10.1109/TCAD.2023.3342603.  "
"295","13","[13] “Enhancing Cell Delay Accuracy in Post-Placed Netlists Using Ensemble Tree-Based Algorithms,” *Integration, the VLSI Journal*, 2024. doi: 10.1016/j.vlsi.2024.102193.  "
"296","14","[14] “Fast and Accurate Aging-Aware Cell Timing Model via Graph Learning,” *IEEE Transactions on Circuits and Systems II: Express Briefs*, 2024. doi: 10.1109/TCSII.2023.3298917.  "
"297","15","[15] “Multi-View Graph Learning for Path-Level Aging-Aware Timing Prediction,” *Electronics*, 2024. doi: 10.3390/electronics13173479.  "
"298","16","[16] “Multicorner Timing Analysis Acceleration for Iterative Physical Design of ICs,” *IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems*, 2024. doi: 10.1109/TCAD.2024.3361401.  "
"299","17","[17] “Pre-Route Timing Prediction and Optimization with Graph Neural Network Models,” *Integration, the VLSI Journal*, 2024. doi: 10.1016/j.vlsi.2024.102262.  "
"300","18","[18] “Statistical Static Timing Analysis via Modern Optimization Lens: I. Histogram-Based Approach,” *Optimization and Engineering*, 2024. doi: 10.1007/s11081-023-09847-3.  "
"301","19","[19] “TSTL-GNN: Graph-Based Two-Stage Transfer Learning for Timing Engineering Change Order Analysis Acceleration,” *Electronics*, 2024. doi: 10.3390/electronics13152897.  "
"302","20","[20] “A Survey on Machine Learning-Based Technology for Static Timing Analysis in Agile Design,” *Journal of Computer-Aided Design & Computer Graphics*, 2023. doi: 10.3724/SP.J.1089.2023.19557.  "
"303","21","[21] “A GPU-Accelerated Framework for Path-Based Timing Analysis,” *IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems*, 2023. doi: 10.1109/TCAD.2023.3272274.  "
"304","22","[22] “Accelerating Static Timing Analysis Using CPU-GPU Heterogeneous Parallelism,” *IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems*, 2023. doi: 10.1109/TCAD.2023.3286261.  "
"305","23","[23] “Aging-Aware Critical Path Selection via Graph Attention Networks,” *IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems*, 2023. doi: 10.1109/TCAD.2023.3276944.  "
"306","24","[24] “Deep-Learning Cell-Delay Modeling for Static Timing Analysis,” *Ain Shams Engineering Journal*, 2023. doi: 10.1016/j.asej.2022.101828.  "
"307","25","[25] “Machine Learning Application for Cell Delay Accuracy Improvement at Post-Placement Stage: A Case Study for Combinational Cells,” *Integration, the VLSI Journal*, 2023. doi: 10.1016/j.vlsi.2023.02.011.  "
"308","26","[26] “AVATAR: An Aging- and Variation-Aware Dynamic Timing Analyzer for Error-Efficient Computing,” *IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems*, 2023. doi: 10.1109/TCAD.2023.3255167.  "
"309","27","[27] “Early RTL Delay Prediction Using Neural Networks,” *Microprocessors and Microsystems*, 2022. doi: 10.1016/j.micpro.2022.104671.  "
"310","28","[28] “Machine-Learning-Based Multi-Corner Timing Prediction for Faster Timing Closure,” *Electronics*, 2022. doi: 10.3390/electronics11101571.  "
"311","29","[29] “Preplacement Net Length and Timing Estimation by Customized Graph Neural Network,” *IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems*, 2022. doi: 10.1109/TCAD.2022.3149977.  "
"312","30","[30] “Timing Analysis Algorithm Using a Neural Network under PVT Variations,” *Microelectronics Journal*, 2022. doi: 10.1016/j.mejo.2022.105480.  "
"313","31","[31] “Timing Analysis and Optimization Method with Interdependent Flip-Flop Timing Model for Near-Threshold Design,” *Electronics*, 2022. doi: 10.3390/electronics11223670.  "
"314","32","[32] “Statistical Gate-Delay Modeling with Copulas,” *Microelectronics Journal*, 2021. doi: 10.1016/j.mejo.2020.104938.  "
"315","33","[33] “Novel Prediction Framework for Path Delay Variation Based on Learning Method,” *Electronics*, 2020. doi: 10.3390/electronics9010157.  "
"316","34","[34] “NN-SSTA: A Deep Neural Network Approach for Statistical Static Timing Analysis,” *Expert Systems with Applications*, 2020. doi: 10.1016/j.eswa.2020.113309.  "
"317","35","[35] “Adjacency Criticality: A Simple Yet Effective Metric for Statistical Timing Yield Optimisation of Digital Integrated Circuits,” *IET Circuits, Devices & Systems*, 2019. doi: 10.1049/iet-cds.2018.5616.  "
"318","36","[36] “An Analytical Gate Delay Model in Near-Subthreshold Domain Considering Process Variation,” *IEEE Access*, 2019. doi: 10.1109/ACCESS.2019.2955091.  "
"319","37","[37] “Calculated Risks: Quantifying Timing Error Probability With Extended Static Timing Analysis,” *IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems*, 2019. doi: 10.1109/TCAD.2018.2821563.  "
"320","38","[38] “Potential Critical Path Selection Based on a Time-Varying Statistical Timing Analysis Framework,” *IEEE Transactions on Very Large Scale Integration (VLSI) Systems*, 2019. doi: 10.1109/TVLSI.2019.2893020.  "
"321","39","[39] “From Process Variations to Reliability: A Survey of Timing of Digital Circuits in the Nanometer Era,” *IPSJ Transactions on System LSI Design Methodology*, 2018. doi: 10.2197/ipsjtsldm.11.2.  "
"322","40","[40] “Efficient Critical Path Identification Based on Viability Analysis Method Considering Process Variations,” *IEEE Transactions on Very Large Scale Integration (VLSI) Systems*, 2017. doi: 10.1109/TVLSI.2017.2703623.  "
"323","41","[41] “Stochastic Logical Effort as a Variation Aware Delay Model to Estimate Timing Yield,” *Integration, the VLSI Journal*, 2015. doi: 10.1016/j.vlsi.2014.07.003.  "
"324","42","[42] “A Gate-Delay Model Focusing on Current Fluctuation over Wide Range of Process-Voltage-Temperature Variations,” *Integration, the VLSI Journal*, 2013. doi: 10.1016/j.vlsi.2013.01.003.  "
"325","43","[43] “On Timing Model Extraction and Hierarchical Statistical Timing Analysis,” *IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems*, 2013. doi: 10.1109/TCAD.2012.2228305.  "
"326","44","[44] “The Impact of BTI Variations on Timing in Digital Logic Circuits,” *IEEE Transactions on Device and Materials Reliability*, 2013. doi: 10.1109/TDMR.2013.2237910.  "
"327","45","[45] “Delay-Correlation-Aware SSTA Based on Conditional Moments,” *Microelectronics Journal*, 2012. doi: 10.1016/j.mejo.2012.01.003.  "
"328","46","[46] “Utilizing Interdependent Timing Constraints to Enhance Robustness in Synchronous Circuits,” *Microelectronics Journal*, 2012. doi: 10.1016/j.mejo.2011.11.005.  "
"329","47","[47] “Fast Statistical Static Timing Analysis Using Smart Monte Carlo Techniques,” *IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems*, 2011. doi: 10.1109/TCAD.2011.2108030.  "
"330","48","[48] “FA-STAC: An Algorithmic Framework for Fast and Accurate Coupling Aware Static Timing Analysis,” *IEEE Transactions on Very Large Scale Integration (VLSI) Systems*, 2011. doi: 10.1109/TVLSI.2009.2035323.  "
"331","49","[49] “Statistical Static Timing Analysis: A Survey,” *Integration, the VLSI Journal*, 2009. doi: 10.1016/j.vlsi.2008.10.002.  "
"332","50","[50] “Slack in Static Timing Analysis,” *IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems*, 2006. doi: 10.1109/TCAD.2005.858348."
